source,target,edge_type,author_order,weight
author:md5:303b488f63dc917b418b296f37bb4d9d,paper:local:eim-spaceflight-hlu,authored,5.0,
author:md5:64d742f1c4b6b5753252ad73a0ea19ea,paper:local:eim-spaceflight-hlu,authored,6.0,
author:md5:55812956764082037bb765f56486f70e,paper:local:eim-spaceflight-hlu,authored,7.0,
author:md5:0ceb79bfa55976b4d3ecd94f7a02e796,paper:local:eim-spaceflight-hlu,authored,8.0,
author:md5:cefbb655b6b892b5d8dd6a2bd22d5970,paper:local:eim-spaceflight-hlu,authored,9.0,
author:md5:775221b913cfd712e02f9798fabec4c0,paper:local:eim-spaceflight-hlu,authored,10.0,
author:md5:ec17818e4ee819dc9591a342ba0247a9,paper:local:spinal-bending-bionm1,authored,1.0,
author:md5:3244b843408915ba231ba83b240cd364,paper:local:spinal-bending-bionm1,authored,2.0,
author:md5:c71a05b3861da2432cf9707300baff4c,paper:local:spinal-bending-bionm1,authored,3.0,
author:md5:cf49d3c6057987e6903a4e7af278fe39,paper:local:spinal-bending-bionm1,authored,4.0,
author:md5:6ada640813e4d93fa85e19522be49045,paper:local:spinal-bending-bionm1,authored,5.0,
author:md5:01c4a1a3c01c90094d2b80dc8fdc7270,paper:local:spinal-bending-bionm1,authored,6.0,
author:md5:16bb642329d7817212ec031041a41512,paper:local:bmpr1a-countermeasure,authored,1.0,
author:md5:9e6bd29daf40e16bd114e5f25f7b223d,paper:local:bmpr1a-countermeasure,authored,2.0,
author:md5:303b488f63dc917b418b296f37bb4d9d,paper:local:bmpr1a-countermeasure,authored,3.0,
author:md5:1d71807d254ce367aef5183f6ae74b4e,paper:local:bmpr1a-countermeasure,authored,4.0,
author:md5:5cb106825ecea61e71f62ab222a171c0,paper:local:bmpr1a-countermeasure,authored,5.0,
author:md5:ddf0f1b755d12c5588a0d75fecea1cc4,paper:local:bmpr1a-countermeasure,authored,6.0,
author:md5:eea4ab9441c0d824a3ea99a76bc6699e,paper:local:bmpr1a-countermeasure,authored,7.0,
author:md5:9221fa33fde06ea56bdc4e3989b3a8f6,paper:local:bmpr1a-countermeasure,authored,8.0,
author:md5:d13b96f65298f92bb4cc6dec51ccb581,paper:local:bmpr1a-countermeasure,authored,9.0,
author:md5:d4a684e6d9e94e981fe7fbd5cfffb90d,paper:local:bmpr1a-countermeasure,authored,10.0,
author:md5:24feed5776fdb4ae0e5e26e4f66ca919,author:md5:6dc969fc27b27bbbcb5a4a319eb9dc0d,coauthor,,1.0
author:md5:24feed5776fdb4ae0e5e26e4f66ca919,author:md5:dc75447eb49e5493be42511ec4a26c5e,coauthor,,1.0
author:md5:24feed5776fdb4ae0e5e26e4f66ca919,author:md5:eca8306d34315f6625f90c9bf65cbf4e,coauthor,,1.0
author:md5:24feed5776fdb4ae0e5e26e4f66ca919,author:md5:384ad7b4242c8780d1a8519e13d85a9a,coauthor,,1.0
author:md5:24feed5776fdb4ae0e5e26e4f66ca919,author:md5:abff753e5efbe07ae8e6411442d7cfff,coauthor,,1.0
author:md5:24feed5776fdb4ae0e5e26e4f66ca919,author:md5:47a382efe7d7c6f351b597c18f0b992c,coauthor,,1.0
author:md5:24feed5776fdb4ae0e5e26e4f66ca919,author:md5:8eac5c3cc69b6b469067f60256848b56,coauthor,,1.0
author:md5:6dc969fc27b27bbbcb5a4a319eb9dc0d,author:md5:dc75447eb49e5493be42511ec4a26c5e,coauthor,,1.0
author:md5:6dc969fc27b27bbbcb5a4a319eb9dc0d,author:md5:eca8306d34315f6625f90c9bf65cbf4e,coauthor,,1.0
author:md5:6dc969fc27b27bbbcb5a4a319eb9dc0d,author:md5:384ad7b4242c8780d1a8519e13d85a9a,coauthor,,1.0
author:md5:6dc969fc27b27bbbcb5a4a319eb9dc0d,author:md5:abff753e5efbe07ae8e6411442d7cfff,coauthor,,1.0
author:md5:6dc969fc27b27bbbcb5a4a319eb9dc0d,author:md5:47a382efe7d7c6f351b597c18f0b992c,coauthor,,1.0
author:md5:6dc969fc27b27bbbcb5a4a319eb9dc0d,author:md5:8eac5c3cc69b6b469067f60256848b56,coauthor,,1.0
author:md5:dc75447eb49e5493be42511ec4a26c5e,author:md5:eca8306d34315f6625f90c9bf65cbf4e,coauthor,,1.0
author:md5:dc75447eb49e5493be42511ec4a26c5e,author:md5:384ad7b4242c8780d1a8519e13d85a9a,coauthor,,1.0
author:md5:dc75447eb49e5493be42511ec4a26c5e,author:md5:abff753e5efbe07ae8e6411442d7cfff,coauthor,,1.0
author:md5:dc75447eb49e5493be42511ec4a26c5e,author:md5:47a382efe7d7c6f351b597c18f0b992c,coauthor,,1.0
author:md5:dc75447eb49e5493be42511ec4a26c5e,author:md5:8eac5c3cc69b6b469067f60256848b56,coauthor,,1.0
author:md5:eca8306d34315f6625f90c9bf65cbf4e,author:md5:384ad7b4242c8780d1a8519e13d85a9a,coauthor,,1.0
author:md5:eca8306d34315f6625f90c9bf65cbf4e,author:md5:abff753e5efbe07ae8e6411442d7cfff,coauthor,,1.0
author:md5:eca8306d34315f6625f90c9bf65cbf4e,author:md5:47a382efe7d7c6f351b597c18f0b992c,coauthor,,1.0
author:md5:eca8306d34315f6625f90c9bf65cbf4e,author:md5:8eac5c3cc69b6b469067f60256848b56,coauthor,,1.0
